key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	En sus años de investigación requeridos para crear los más de dos mil videos basados en evidencia disponibles en NutritionFacts.org, el médico Michael Greger ha creado una lista de lo que considera los alimentos más importantes que consumir a diario para tener buena salud.		
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Todas las ganancias de la venta de libros, DVD y ponencias se destina a la caridad.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org es un servicio público sin ánimo de lucro, no comercial y con base científica creado por el Dr. Greger, y proporciona novedades diarias de forma gratuita sobre lo último en nutrición en forma de videos cortos. Tiene más de dos mil videos sobre todo tipo de temas nutricionales, y se suben videos y artículos nuevos a diario.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	La Docena Diaria de Dr. Greger - Tu rutina habitual es la que determina tu salud a largo plazo. ¡Descárgala ya!		
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Todas las ganancias de la venta de libros, DVD y ponencias se destina a la caridad.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org es un servicio público sin ánimo de lucro, no comercial y con base científica creado por el Dr. Greger, y proporciona novedades diarias sobre lo último en nutrición en forma de videos cortos. Tiene más de dos mil videos sobre todo tipo de temas nutricionales, y se suben videos y artículos nuevos a diario. Igual que esta aplicación, toda la información de la página web es gratuita y no contiene anuncios.		
