key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_videos_beverages.2	dozeBeverages.Variety.topic.2	topics/chamomile-tea	es/topics/te-de-manzanilla	https://nutritionfacts.org/topics/chamomile-tea	https://nutritionfacts.org/es/topics/te-de-manzanilla
food_videos_beverages.3	dozeBeverages.Variety.topic.3	topics/coffee	es/topics/cafe	https://nutritionfacts.org/topics/coffee	https://nutritionfacts.org/es/topics/cafe
food_videos_beverages.4	dozeBeverages.Variety.topic.4	topics/earl-grey-tea	es/topics/te-earl-grey-es	https://nutritionfacts.org/topics/earl-grey-tea	https://nutritionfacts.org/es/topics/te-earl-grey-es
food_videos_beverages.5	dozeBeverages.Variety.topic.5	topics/green-tea	es/topics/te-verde	https://nutritionfacts.org/topics/green-tea	https://nutritionfacts.org/es/topics/te-verde
food_videos_beverages.6	dozeBeverages.Variety.topic.6	topics/hibiscus-tea	es/topics/hibiscus-tea-es	https://nutritionfacts.org/topics/hibiscus-tea	https://nutritionfacts.org/es/topics/hibiscus-tea-es
food_videos_beverages.7	dozeBeverages.Variety.topic.7				
food_videos_beverages.8	dozeBeverages.Variety.topic.8	topics/jasmine-tea	es/topics/te-de-jasmin		https://nutritionfacts.org/es/topics/te-de-jasmin
food_videos_beverages.9	dozeBeverages.Variety.topic.9	topics/lemon-balm	es/topics/toronjil	https://nutritionfacts.org/topics/lemon-balm	https://nutritionfacts.org/es/topics/toronjil/
food_videos_beverages.10	dozeBeverages.Variety.topic.10	topics/matcha	es/topics/matcha-es	https://nutritionfacts.org/topics/matcha	https://nutritionfacts.org/es/topics/matcha-es
food_videos_beverages.11	dozeBeverages.Variety.topic.11	topics/oolong-tea	es/topics/te-oolong-es	https://nutritionfacts.org/topics/oolong-tea	https://nutritionfacts.org/es/topics/te-oolong-es
food_videos_beverages.12	dozeBeverages.Variety.topic.12	topics/peppermint	es/topics/menta-es	https://nutritionfacts.org/topics/peppermint	https://nutritionfacts.org/es/topics/menta-es
food_videos_beverages.13	dozeBeverages.Variety.topic.13	topics/rooibos-tea	es/topics/te-rooibos-es	https://nutritionfacts.org/topics/rooibos-tea	https://nutritionfacts.org/es/topics/te-rooibos-es
food_videos_beverages.14	dozeBeverages.Variety.topic.14	topics/water	es/topics/agua	https://nutritionfacts.org/topics/water	https://nutritionfacts.org/es/topics/agua
food_videos_beverages.15	dozeBeverages.Variety.topic.15	topics/white-tea	es/topics/te-blanco	https://nutritionfacts.org/topics/white-tea	https://nutritionfacts.org/es/topics/te-blanco
food_info_videos_exercise	dozeExercise.topic	topics/exercise	es/topics/ejercicio	https://nutritionfacts.org/topics/exercise	https://nutritionfacts.org/es/topics/ejercicio
	dozeExercise.Variety.topic.0				
	dozeExercise.Variety.topic.1				
	dozeExercise.Variety.topic.2				
	dozeExercise.Variety.topic.3				
	dozeExercise.Variety.topic.4				
	dozeExercise.Variety.topic.5				
	dozeExercise.Variety.topic.6				
	dozeExercise.Variety.topic.7				
	dozeExercise.Variety.topic.8				
	dozeExercise.Variety.topic.9				
	dozeExercise.Variety.topic.10				
	dozeExercise.Variety.topic.11				
	dozeExercise.Variety.topic.12				
	dozeExercise.Variety.topic.13				
	dozeExercise.Variety.topic.14				
	dozeExercise.Variety.topic.15				
	dozeExercise.Variety.topic.16				
	dozeExercise.Variety.topic.17				
	dozeExercise.Variety.topic.18				
	dozeExercise.Variety.topic.19				
	dozeExercise.Variety.topic.20				
	dozeExercise.Variety.topic.21				
	dozeExercise.Variety.topic.22				
	dozeExercise.Variety.topic.23				
	dozeExercise.Variety.topic.24				
	dozeExercise.Variety.topic.25				
	dozeExercise.Variety.topic.26				
	dozeExercise.Variety.topic.27				
	dozeExercise.Variety.topic.28				
	dozeExercise.Variety.topic.29				
	dozeExercise.Variety.topic.30				
	dozeExercise.Variety.topic.31				
	dozeExercise.Variety.topic.32				
	dozeExercise.Variety.topic.33				
	dozeExercise.Variety.topic.34				
	dozeExercise.Variety.topic.35				
	dozeExercise.Variety.topic.36				
	dozeExercise.Variety.topic.37				
	dozeExercise.Variety.topic.38				
	dozeExercise.Variety.topic.39				
	dozeExercise.Variety.topic.40				
	dozeExercise.Variety.topic.41				
	dozeExercise.Variety.topic.42				
	dozeExercise.Variety.topic.43				
	dozeExercise.Variety.topic.44				
	dozeExercise.Variety.topic.45				
	dozeExercise.Variety.topic.46				
	dozeExercise.Variety.topic.47				
	dozeExercise.Variety.topic.48				
	dozeExercise.Variety.topic.49				
	dozeExercise.Variety.topic.50				
	dozeExercise.Variety.topic.51				
	dozeExercise.Variety.topic.52				
	dozeExercise.Variety.topic.53				
food_info_videos_flaxseeds	dozeFlaxseeds.topic	topics/flax-seeds	es/topics/semillas-de-linaza	https://nutritionfacts.org/topics/flax-seeds	https://nutritionfacts.org/es/topics/semillas-de-linaza
	dozeFlaxseeds.Variety.topic.0				
	dozeFlaxseeds.Variety.topic.1				
food_info_videos_fruits	dozeFruitsOther.topic	topics/fruit	es/topics/fruta	https://nutritionfacts.org/topics/fruit	https://nutritionfacts.org/es/topics/fruta
food_videos_other_fruits.0	dozeFruitsOther.Variety.topic.0	topics/apples	es/topics/manzanas	https://nutritionfacts.org/topics/apples	https://nutritionfacts.org/es/topics/manzanas
food_videos_other_fruits.1	dozeFruitsOther.Variety.topic.1	topics/apricots	es/topics/albaricoques	https://nutritionfacts.org/topics/apricots	https://nutritionfacts.org/es/topics/albaricoques
food_videos_other_fruits.2	dozeFruitsOther.Variety.topic.2	topics/avocados	es/topics/aguacates	https://nutritionfacts.org/topics/avocados	https://nutritionfacts.org/es/topics/aguacates
food_videos_other_fruits.3	dozeFruitsOther.Variety.topic.3	topics/bananas	es/topics/bananos	https://nutritionfacts.org/topics/bananas	https://nutritionfacts.org/es/topics/bananos
food_videos_other_fruits.4	dozeFruitsOther.Variety.topic.4	topics/cantaloupe	es/topics/melon	https://nutritionfacts.org/topics/cantaloupe	https://nutritionfacts.org/es/topics/melon
food_videos_other_fruits.5	dozeFruitsOther.Variety.topic.5				
food_videos_other_fruits.6	dozeFruitsOther.Variety.topic.6	topics/dates	es/topics/datiles	https://nutritionfacts.org/topics/dates	https://nutritionfacts.org/es/topics/datiles
food_videos_other_fruits.7	dozeFruitsOther.Variety.topic.7	topics/figs	es/topics/higos		https://nutritionfacts.org/es/topics/higos
food_videos_other_fruits.8	dozeFruitsOther.Variety.topic.8	topics/grapefruit	es/topics/toronja	https://nutritionfacts.org/topics/grapefruit	https://nutritionfacts.org/es/topics/toronja
food_videos_other_fruits.9	dozeFruitsOther.Variety.topic.9				
food_videos_other_fruits.10	dozeFruitsOther.Variety.topic.10	topics/kiwifruit	es/topics/kiwi	https://nutritionfacts.org/topics/kiwifruit	https://nutritionfacts.org/es/topics/kiwi
food_videos_other_fruits.11	dozeFruitsOther.Variety.topic.11	topics/lemons	es/topics/limones	https://nutritionfacts.org/topics/lemons	https://nutritionfacts.org/topics/lemons
food_videos_other_fruits.12	dozeFruitsOther.Variety.topic.12	topics/limes	es/topics/limas	https://nutritionfacts.org/topics/limes	https://nutritionfacts.org/es/topics/limas
food_videos_other_fruits.13	dozeFruitsOther.Variety.topic.13				
food_videos_other_fruits.14	dozeFruitsOther.Variety.topic.14	topics/mango	es/topics/mango-es	https://nutritionfacts.org/topics/mango	https://nutritionfacts.org/es/topics/mango-es
food_videos_other_fruits.15	dozeFruitsOther.Variety.topic.15				
