language	lang_value
English_US	Peanuts
Bulgarian	Peanuts
Catalan	Peanuts
Chinese_Simplified	Peanuts
Chinese_Traditional	Peanuts
Czech	Peanuts
French	Peanuts
German	Peanuts
Greek	Peanuts
Hebrew	Peanuts
Italian	Peanuts
Polish	Peanuts
Portuguese_Brazil	Peanuts
Portuguese_Portugal	Peanuts
Romanian	Peanuts
Russian	Peanuts
Slovak	Peanuts
Spanish	Peanuts
