key_droid	key_apple	base_value	lang_value	base_note	lang_note
android_store_whatsnew_analytics	apple_store_whatsnew_analytics	Adds anonymous opt-in analytics to support product improvement.	Dodano możliwość zbierania anonimowych danych statystycznych, w celu wspierania poprawy produktu.	What's New Item	
	apple_store_whatsnew_darkmode	Adds support for Dark Mode.	Dodano obsługę trybu ciemnego.	What's New Item	
	apple_store_whatsnew_export	Adds support to export history data.	Dodano obsługę eksportu danych historii.	What's New Item	
	apple_store_whatsnew_import	Adds support to import history data.	Dodano obsługę importu danych historii.	What's New Item	
android_store_whatsnew_improvement	apple_store_whatsnew_improvement	General software quality improvements.	Ogólna poprawki jakości oprogramowania.	What's New Item	
