key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Durant tots els anys de recerca que han fet falta per crear els més de mil vídeos basats en evidència científica al web de NutritionFacts.org, Michael Greger, M.D, FACLM, ha arribat a fer una llista dels aliments que considera més importants per incloure en una allimentació diària saludable.		
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Tots els beneficis dels seus llibres, DVDs i conferències es donen a la caritat.		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org és un servei públic no comercial, sense ànim de lucre, basat en la ciència conduït pel Dr. Greger, oferint contingut diari gratuït sobre les últimes recerques en nutrició per mitjà de vídeos curts. Pots trobar-hi milers de vídeos sobre qualsevol aspecte de l'alimentació saludable, amb nous vídeos i articles publicats cada dia.		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	La Dotzena Diària del Dr. Greger és la teva rutina regular que determina la teva salut a llarg termini. Descarrega-te-la avui!		
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Tots els beneficis dels seus llibres, DVDs i conferències es donen a la caritat.		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org és un servei públic no comercial, sense ànim de lucre, basat en la ciència conduït pel Dr. Greger, oferint contingut diari gratuït sobre les últimes recerques en nutrició per mitjà de vídeos curts. Pots trobar-hi milers de vídeos sobre qualsevol aspecte de l'alimentació saludable, amb nous vídeos i articles publicats cada dia. Igual que aquesta aplicació, tot el contingut del web està lliure d'anuncis i és gratuït.		
