key_droid	key_apple	base_value	lang_value	base_comment
food_info_serving_sizes_beans[imperial][2]	dozeBeansServing[imperial][2]	1 cup of fresh peas or sprouted lentils	1 tassa de pèsols frescos o brots de llenties	  
food_info_serving_sizes_beans[metric][2]	dozeBeansServing[metric][2]	150 g of fresh peas or sprouted lentils	150 g de pèsols frescos o brots de llenties	  
food_info_serving_sizes_cruciferous_vegetables[imperial][0]	dozeVegetablesCruciferousServing[imperial][0]	½ cup chopped	½ tassa tallats	  
food_info_serving_sizes_cruciferous_vegetables[metric][0]	dozeVegetablesCruciferousServing[metric][0]	30–80 g chopped	30–80 g tallats	  
food_info_serving_sizes_cruciferous_vegetables[imperial][1]	dozeVegetablesCruciferousServing[imperial][1]	¼ cup Brussels or broccoli sprouts	¼ tassa  cols de Brussel·les o brots de bròquil	  
food_info_serving_sizes_cruciferous_vegetables[metric][1]	dozeVegetablesCruciferousServing[metric][1]	12 g Brussels or broccoli sprouts	12 g  cols de Brussel·les o brots de bròquil	  
food_info_serving_sizes_cruciferous_vegetables[imperial][2]	dozeVegetablesCruciferousServing[imperial][2]	1 tablespoon horseradish	1 cullerada de rave rusticà	  
food_info_serving_sizes_cruciferous_vegetables[metric][2]	dozeVegetablesCruciferousServing[metric][2]	1 tablespoon horseradish	1 cullerada de rave rusticà	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	Un got (12 unces)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	Un got (350 ml)	  
food_info_serving_sizes_nuts[imperial][0]	dozeNutsServing[imperial][0]	¼ cup nuts or seeds	¼ tassa de fruits secs o llavors	  
food_info_serving_sizes_nuts[metric][0]	dozeNutsServing[metric][0]	30 g nuts or seeds	30 g de fruits secs o llavors	  
food_info_serving_sizes_nuts[imperial][1]	dozeNutsServing[imperial][1]	2 tablespoons nut or seed butter	2 cullerades de mantega de fruits secs o de llavors	  
food_info_serving_sizes_nuts[metric][1]	dozeNutsServing[metric][1]	2 tablespoons nut or seed butter	2 cullerades de mantega de fruits secs o de llavors	  
food_info_serving_sizes_berries[imperial][0]	dozeBerriesServing[imperial][0]	½ cup fresh or frozen	½ tassa frescos o congelats	  
food_info_serving_sizes_berries[metric][0]	dozeBerriesServing[metric][0]	60 g fresh or frozen	60 g frescos o congelats	  
food_info_serving_sizes_berries[imperial][1]	dozeBerriesServing[imperial][1]	¼ cup dried	¼ tassa secs	  
food_info_serving_sizes_berries[metric][1]	dozeBerriesServing[metric][1]	40 g dried	40 g secs	  
food_info_serving_sizes_exercise[imperial][0]	dozeExerciseServing[imperial][0]	90 minutes of moderate-intensity activity	90 minuts d'exercici d'intensitat moderada	  
food_info_serving_sizes_exercise[metric][0]	dozeExerciseServing[metric][0]	90 minutes of moderate-intensity activity	90 minuts d'exercici d'intensitat moderada	  
food_info_serving_sizes_exercise[imperial][1]	dozeExerciseServing[imperial][1]	40 minutes of vigorous-intensity activity	40 minuts d'exercici d'alta intensitat	  
food_info_serving_sizes_exercise[metric][1]	dozeExerciseServing[metric][1]	40 minutes of vigorous-intensity activity	40 minuts d'exercici d'alta intensitat	  
food_info_types_exercise[0]	dozeExerciseVarietyText[0]	Bicycling		  
food_info_types_exercise[1]	dozeExerciseVarietyText[1]	Canoeing		  
food_info_types_exercise[2]	dozeExerciseVarietyText[2]	Dancing		  
food_info_types_exercise[3]	dozeExerciseVarietyText[3]	Dodgeball		  
food_info_types_exercise[4]	dozeExerciseVarietyText[4]	Downhill skiing		  
food_info_types_exercise[5]	dozeExerciseVarietyText[5]	Fencing		  
food_info_types_exercise[6]	dozeExerciseVarietyText[6]	Hiking		  
food_info_types_exercise[7]	dozeExerciseVarietyText[7]	Housework		  
food_info_types_exercise[8]	dozeExerciseVarietyText[8]	Ice-skating		  
food_info_types_exercise[9]	dozeExerciseVarietyText[9]	Inline skating		  
food_info_types_exercise[10]	dozeExerciseVarietyText[10]	Juggling		  
food_info_types_exercise[11]	dozeExerciseVarietyText[11]	Jumping on a trampoline		  
food_info_types_exercise[12]	dozeExerciseVarietyText[12]	Paddle boating		  
food_info_types_exercise[13]	dozeExerciseVarietyText[13]	Playing frisbee		  
food_info_types_exercise[14]	dozeExerciseVarietyText[14]	Roller-skating		  
food_info_types_exercise[15]	dozeExerciseVarietyText[15]	Shooting baskets		  
food_info_types_exercise[16]	dozeExerciseVarietyText[16]	Shoveling light snow		  
food_info_types_exercise[17]	dozeExerciseVarietyText[17]	Skateboarding		  
food_info_types_exercise[18]	dozeExerciseVarietyText[18]	Snorkeling		  
food_info_types_exercise[19]	dozeExerciseVarietyText[19]	Surfing		  
food_info_types_exercise[20]	dozeExerciseVarietyText[20]	Swimming recreationally		  
food_info_types_exercise[21]	dozeExerciseVarietyText[21]	Tennis (doubles)		  
food_info_types_exercise[22]	dozeExerciseVarietyText[22]	Treading water		  
food_info_types_exercise[23]	dozeExerciseVarietyText[23]	Walking briskly (4 mph)		  
food_info_types_exercise[24]	dozeExerciseVarietyText[24]	Water aerobics		  
food_info_types_exercise[25]	dozeExerciseVarietyText[25]	Waterskiing		  
food_info_types_exercise[26]	dozeExerciseVarietyText[26]	Yard work		  
food_info_types_exercise[27]	dozeExerciseVarietyText[27]	Yoga		  
food_info_types_exercise[28]	dozeExerciseVarietyText[28]	Backpacking		  
food_info_types_exercise[29]	dozeExerciseVarietyText[29]	Basketball		  
food_info_types_exercise[30]	dozeExerciseVarietyText[30]	Bicycling uphill		  
food_info_types_exercise[31]	dozeExerciseVarietyText[31]	Circuit weight training		  
