key_droid	key_apple	base_value	lang_value	base_comment
food_info_types_beans[16]	dozeBeansVarietyText[16]	Tempeh		  
food_info_types_berries[0]	dozeBerriesVarietyText[0]	Acai berries	Baies d'Acai	  
food_info_types_berries[1]	dozeBerriesVarietyText[1]	Barberries	Coralet	  
food_info_types_berries[2]	dozeBerriesVarietyText[2]	Blackberries	Mores d'esbarzer	  
food_info_types_berries[3]	dozeBerriesVarietyText[3]	Blueberries	Nabiu de grua	  
food_info_types_berries[4]	dozeBerriesVarietyText[4]	Cherries (sweet or tart)	Cireres (dolces o àcides)	  
food_info_types_berries[5]	dozeBerriesVarietyText[5]	Concord grapes	Raïm de taula	  
food_info_types_berries[6]	dozeBerriesVarietyText[6]	Cranberries	Gerds	  
food_info_types_berries[7]	dozeBerriesVarietyText[7]	Goji berries	Baies de Goji	  
food_info_types_berries[8]	dozeBerriesVarietyText[8]	Kumquats	Cumquat	  
food_info_types_berries[9]	dozeBerriesVarietyText[9]	Mulberries	Mores de morera	  
food_info_types_berries[10]	dozeBerriesVarietyText[10]	Raspberries (black or red)	Gerds (negres o vermells)	  
food_info_types_berries[11]	dozeBerriesVarietyText[11]	Strawberries	Maduixes	  
daily_greentea[heading]	tweakDailyGreenTea[heading]	Green Tea (3 cups)		
daily_greentea[short]	tweakDailyGreenTea[short]	Green Tea (3 cups)		
daily_greentea[text]	tweakDailyGreenTea[text]	Drink three cups a day between meals (waiting at least an hour after a meal so as to not interfere with iron absorption). During meals, drink water, black coffee, or hibiscus tea mixed 6:1 with lemon verbena, but never exceed three cups of fluid an hour (important given my water preloading advice). Take advantage of the reinforcing effect of caffeine by drinking your green tea along with something healthy you wish you liked more, but don\'t consume large amounts of caffeine within six hours of bedtime. Taking your tea without sweetener is best, but if you typically sweeten your tea with honey or sugar, try yacon syrup instead.		

daily_frontload[heading]	tweakDailyFrontLoad[heading]	Front-Load Your Calories		
daily_frontload[short]	tweakDailyFrontLoad[short]	Front-Load Your Calories		
daily_frontload[text]	tweakDailyFrontLoad[text]	There are metabolic benefits to distributing more calories to earlier in the day, so make breakfast (ideally) or lunch your largest meal of the day in true king/prince/pauper style.		

daily_nutriyeast[heading]	tweakDailyNutriYeast[heading]	Nutritional Yeast (2 tsp)		
daily_nutriyeast[short]	tweakDailyNutriYeast[short]	Nutritional Yeast (2 tsp)		
daily_nutriyeast[text]	tweakDailyNutriYeast[text]	Two teaspoons of baker\'s, brewer\'s, or nutritional yeast contains roughly the amount of beta 1,3/1,6 glucans found in randomized, double-blind, placebo-controlled clinical trials to facilitate weight loss.		

weigh_twice[heading]	tweakWeightTwice[heading]	Weigh Yourself Twice a Day		
weigh_twice[short]	tweakWeightTwice[short]	Weigh Yourself Twice a Day		
weigh_twice[text]	tweakWeightTwice[text]	Regular self-weighing is considered crucial for long-term weight control, but there is insufficient evidence to support a specific frequency of weighing. My recommendation is based on the one study that found that twice daily—upon waking and right before bed—appeared superior to once a day (about six versus two pounds of weight loss over twelve weeks).		

exercise_timing[heading]	tweakExerciseTiming[heading]	Optimize Exercise Timing		
exercise_timing[short]	tweakExerciseTiming[short]	Optimize Exercise Timing		
exercise_timing[text]	tweakExerciseTiming[text]	The Daily Dozen\'s recommendation for optimum exercise duration for longevity is ninety minutes of moderately intense activity a day, which is also the optimum exercise duration for weight loss. Anytime is good, and the more, the better, but there may be an advantage to exercising in a fasted state, at least six hours after your last meal. Typically, this would mean before breakfast, but if you timed it right, you could exercise midday before a late lunch or, if lunch is eaten early enough, before dinner. This is the timing for nondiabetics. Diabetics and prediabetics should instead start exercising thirty minutes after the start of a meal and ideally go for at least an hour to completely straddle the blood sugar peak. If you had to choose a single meal to exercise after, it would be dinner, due to the circadian rhythm of blood sugar control that wanes throughout the day. Ideally, though, breakfast would be the largest meal of the day, and you\'d exercise after that—or, even better, after every meal.		

daily_cumin[heading]	tweakDailyCumin[heading]	Cumin (½ tsp with lunch and dinner)		
daily_cumin[short]	tweakDailyCumin[short]	Cumin (Cuminum cyminum) (½ tsp with lunch and dinner)		
daily_cumin[text]	tweakDailyCumin[text]	Overweight women randomized to add a half teaspoon of cumin to their lunches and dinners beat out the control group by four more pounds and an extra inch off their waists. There is also evidence to support the use of the spice saffron, but a pinch a day would cost a dollar, whereas a teaspoon of cumin costs less than ten cents.		

daily_deflourdiet[heading]	tweakDailyDeflourDiet[heading]	Deflour Your Diet		
daily_deflourdiet[short]	tweakDailyDeflourDiet[short]	Deflour Your Diet		
daily_deflourdiet[text]	tweakDailyDeflourDiet[text]	Check this box every day your whole grain servings are in the form of intact grains. The powdering of even 100 percent whole grains robs our microbiomes of the starch that would otherwise be ferried down to our colons enclosed in unbroken cell walls.		

daily_timerestrict[heading]	tweakDailyTimeRestrict[heading]	Time-Restrict Your Eating		
daily_timerestrict[short]	tweakDailyTimeRestrict[short]	Time-Restrict Your Eating		
daily_timerestrict[text]	tweakDailyTimeRestrict[text]	Confine eating to a daily window of time of your choosing under twelve hours in length that you can stick to consistently, seven days a week. Given the circadian benefits of reducing evening food intake, the window should end before 7:00 p.m.		

meal_vinegar[heading]	tweakMealVinegar[heading]	Incorporate Vinegar (2 tsp with each meal)		
meal_vinegar[short]	tweakMealVinegar[short]	Incorporate Vinegar (2 tsp with each meal)		
meal_vinegar[text]	tweakMealVinegar[text]	Never drink vinegar straight. Instead, flavor meals or dress a side salad with any of the sweet and savory vinegars out there. If you want to drink it, make sure to mix it in a glass of water and, afterward, be sure to rinse your mouth out with water to protect your tooth enamel.		

nightly_fast[heading]	tweakNightlyFast[heading]	Fast After 7:00 pm		
nightly_fast[short]	tweakNightlyFast[short]	Fast After 7:00 p.m.		
nightly_fast[text]	tweakNightlyFast[text]	Due to our circadian rhythms, food eaten at night is more fattening than the exact same food eaten earlier in the day, so fast every night for at least twelve hours starting before 7:00 p.m. The fewer calories after sundown, the better.		

complete_intentions[heading]	tweakCompleteIntentions[heading]	Complete Your Implementation Intentions		
complete_intentions[short]	tweakCompleteIntentions[short]	Complete Your Implementation Intentions		
complete_intentions[text]	tweakCompleteIntentions[text]	Every two months, create three new implementation intentions—"if X, then Y" plans to perform a particular behavior in a specific context—and check each one of them off as you complete them every day.		

meal_negcal[heading]	tweakMealNegCal[heading]	Preload with "Negative Calorie" Foods		
meal_negcal[short]	tweakMealNegCal[short]	Preload with "Negative Calorie" Foods		
meal_negcal[text]	tweakMealNegCal[text]	As the first course, start each meal with an apple or a Green Light soup or salad containing fewer than one hundred calories per cup.		

nightly_trendelenburg[heading]	tweakNightlyTrendelenbrug[heading]	Experiment with Mild Trendelenburg		
nightly_trendelenburg[short]	tweakNightlyTrendelenbrug[short]	Experiment with Mild Trendelenburg		
nightly_trendelenburg[text]	tweakNightlyTrendelenbrug[text]	Try spending at least four hours a night lying with your body tilted head-down six degrees by elevating the posts at the foot of your bed by eight inches (or by nine inches if you have a California king). Be extremely careful when you get out of bed, as this causes orthostatic intolerance in most people, even if you\'re young and healthy—meaning if you get up too fast, you can feel dizzy, faint, or light-headed and could fall and hurt yourself. So get up slowly. Drinking two cups of cold water thirty minutes before rising may also help prevent this potentially hazardous side effect.\n*IMPORTANT: Do not try this at home at all if you have any heart or lung issues, acid reflux, or problems with your brain (like head trauma) or eyes (even a family history of glaucoma disqualifies you). Also do not try this until you ask your physician if they think it\'s safe for you to sleep in mild Trendelenburg.*		

daily_blackcumin[heading]	tweakDailyBlackCumin[heading]	Black Cumin (¼ tsp)		
daily_blackcumin[short]	tweakDailyBlackCumin[short]	Black Cumin (Nigella sativa) (¼ tsp)		
daily_blackcumin[text]	tweakDailyBlackCumin[text]	As noted in the Appetite Suppression section, a systematic review and meta-analysis of randomized, controlled weight-loss trials found that about a quarter teaspoon of black cumin powder every day appears to reduce body mass index within a span of a couple of months. Note that black cumin is different from regular cumin, for which the dosing is different.		

meal_water[heading]	tweakMealWater[heading]	Preload with Water		
meal_water[short]	tweakMealWater[short]	Preload with Water		
meal_water[text]	tweakMealWater[text]	Time your metabolism-boosting two cups of cool or cold unflavored water before each meal to also take advantage of its preload benefits.		

nightly_sleep[heading]	tweakNightlySleep[heading]	Get Sufficient Sleep		
nightly_sleep[short]	tweakNightlySleep[short]	Get Sufficient Sleep		
nightly_sleep[text]	tweakNightlySleep[text]	Check this box if you get at least seven hours of sleep at your regular bedtime.		

daily_ginger[heading]	tweakDailyGinger[heading]	Ground Ginger (1 tsp) or Cayenne Pepper (½ tsp)		
daily_ginger[short]	tweakDailyGinger[short]	Ground Ginger (1 tsp) or Cayenne Pepper (½ tsp)		
daily_ginger[text]	tweakDailyGinger[text]	Randomized controlled trials have found that ¼ teaspoon to 1½ teaspoons a day of ground ginger significantly decreased body weight for just pennies a day. It can be as easy as stirring the ground spice into a cup of hot water. Note: Ginger may work better in the morning than evening. Chai tea is a tasty way to combine the green tea and ginger tricks into a single beverage. Alternately, for BAT activation, you can add one raw jalapeño pepper or a half teaspoon of red pepper powder (or, presumably, crushed red pepper flakes) into your daily diet. To help beat the heat, you can very thinly slice or finely chop the jalapeño to reduce its bite to little prickles, or mix the red pepper into soup or the whole-food vegetable smoothie I featured in one of my cooking videos on NutritionFacts.org.		

meal_twentyminutes[heading]	tweakMeal20Minutes[heading]	Follow the Twenty-Minute Rule		
meal_twentyminutes[short]	tweakMeal20Minutes[short]	Follow the Twenty-Minute Rule		
meal_twentyminutes[text]	tweakMeal20Minutes[text]	Whether through increasing viscosity or the number of chews, or decreasing bite size and eating rate, dozens of studies have demonstrated that no matter how we boost the amount of time food is in our mouths, it can result in lower caloric intake. So extend meal duration to at least twenty minutes to allow your natural satiety signals to take full effect. How? By choosing foods that take longer to eat and eating them in a way that prolongs the time they stay in your mouth. Think bulkier, hardier, chewier foods in smaller, well-chewed bites.		

meal_undistracted[heading]	tweakMealUndistracted[heading]	Enjoy Undistracted Meals		
meal_undistracted[short]	tweakMealUndistracted[short]	Enjoy Undistracted Meals		
meal_undistracted[text]	tweakMealUndistracted[text]	Don\'t eat while watching TV or playing on your phone. Give yourself a check for each meal you\'re able to eat without distraction.		

daily_garlic[heading]	tweakDailyGarlic[heading]	Garlic Powder (¼ tsp)		
daily_garlic[short]	tweakDailyGarlic[short]	Garlic Powder (¼ tsp)		
daily_garlic[text]	tweakDailyGarlic[text]	Randomized, double-blind, placebo-controlled studies have found that as little as a daily quarter teaspoon of garlic powder can reduce body fat at a cost of perhaps two cents a day.		

daily_hydrate[heading]	tweakDailyHydrate[heading]	Stay Hydrated		
daily_hydrate[short]	tweakDailyHydrate[short]	Stay Hydrated		
daily_hydrate[text]	tweakDailyHydrate[text]	Check this box if your urine never appears darker than a pale yellow. Note that if you\'re eating riboflavin-fortified foods (such as nutritional yeast), then base this instead on getting nine cups of unsweetened beverages a day for women (which would be taken care of by the green tea and water preloading recommendations) or thirteen cups a day for men. If you have heart or kidney issues, don\'t increase fluid intake at all without first talking with your physician. Remember, diet soda may be calorie-free, but it\'s not consequence-free, as we learned in the Low in Added Sugar section.		

