key_droid	key_apple	base_value	lang_value	base_note	lang_note
	apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	在為他的網站NutritionFacts.org創建超過一千個基於實證的影片所需的多年研究中，葛雷格醫師得出了他認為在健康日常飲食中應包含的最重要食物的清單。		
	apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	他的所有書籍、DVD和演講的收益都捐贈給了慈善機構。		
	apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org是由葛雷格醫師提供的非商業性、非營利性、基於科學的公共服務。該網站每天提供最新營養研究的免費更新，內容通過簡短的影片呈現。網站上有上千個關於健康飲食各個方面的影片，並且每天都有新的影片和文章上傳。		
store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	「葛雷格醫師的每日12清單」是您的日常習慣決定了您的長期健康。今天就下載吧！		
android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	他的所有書籍、DVD和演講的收益都捐贈給了慈善機構。		
android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org是由葛雷格醫師提供的非商業性、非營利性、基於科學的公共服務。該網站每天提供最新營養研究的免費更新，內容通過簡短的影片呈現。網站上有上千個關於健康飲食各個方面的影片，並且每天都有新的影片和文章上傳。與此應用程序一樣，該網站上的所有內容都不含廣告且免費。		
