key_droid	key_apple	base_value	lang_value	base_comment
food_info_serving_sizes_nuts[metric][0]	dozeNutsServing[metric][0]	30 g nuts or seeds	30 g nuts or seeds	  
food_info_serving_sizes_nuts[imperial][1]	dozeNutsServing[imperial][1]	2 tablespoons nut or seed butter	2 tablespoons nut or seed butter	  
food_info_serving_sizes_nuts[metric][1]	dozeNutsServing[metric][1]	2 tablespoons nut or seed butter	2 tablespoons nut or seed butter	  
food_info_serving_sizes_beverages[imperial][0]	dozeBeveragesServing[imperial][0]	One glass (12 ounces)	One glass (12 ounces)	  
food_info_serving_sizes_beverages[metric][0]	dozeBeveragesServing[metric][0]	One glass (350 ml)	One glass (350 ml)	  
food_info_serving_sizes_flaxseeds[imperial][0]	dozeFlaxseedsServing[imperial][0]	1 tablespoon ground	1 tablespoon ground	  
food_info_serving_sizes_flaxseeds[metric][0]	dozeFlaxseedsServing[metric][0]	1 tablespoon ground	1 tablespoon ground	  
food_info_serving_sizes_berries[imperial][0]	dozeBerriesServing[imperial][0]	½ cup fresh or frozen	½ cup fresh or frozen	  
food_info_serving_sizes_berries[metric][0]	dozeBerriesServing[metric][0]	60 g fresh or frozen	60 g fresh or frozen	  
food_info_serving_sizes_berries[imperial][1]	dozeBerriesServing[imperial][1]	¼ cup dried	¼ cup dried	  
food_info_serving_sizes_berries[metric][1]	dozeBerriesServing[metric][1]	40 g dried	40 g dried	  
food_info_serving_sizes_whole_grains[imperial][0]	dozeWholeGrainsServing[imperial][0]	½ cup hot cereal or cooked grains, pasta, or corn kernels	½ cup hot cereal or cooked grains, pasta, or corn kernels	  
food_info_serving_sizes_whole_grains[metric][0]	dozeWholeGrainsServing[metric][0]	100 g hot cereal or cooked grains, pasta, or corn kernels	100 g hot cereal or cooked grains, pasta, or corn kernels	  
food_info_serving_sizes_whole_grains[imperial][1]	dozeWholeGrainsServing[imperial][1]	1 cup cold cereal	1 cup cold cereal	  
food_info_serving_sizes_whole_grains[metric][1]	dozeWholeGrainsServing[metric][1]	50 g cold cereal	50 g cold cereal	  
food_info_serving_sizes_whole_grains[imperial][2]	dozeWholeGrainsServing[imperial][2]	1 tortilla or slice of bread	1 tortilla or slice of bread	  
food_info_serving_sizes_whole_grains[metric][2]	dozeWholeGrainsServing[metric][2]	1 tortilla or slice of bread	1 tortilla or slice of bread	  
food_info_serving_sizes_whole_grains[imperial][3]	dozeWholeGrainsServing[imperial][3]	½ a bagel or English muffin	½ a bagel or English muffin	  
food_info_serving_sizes_whole_grains[metric][3]	dozeWholeGrainsServing[metric][3]	½ a bagel or English muffin	½ a bagel or English muffin	  
food_info_serving_sizes_whole_grains[imperial][4]	dozeWholeGrainsServing[imperial][4]	3 cups popped popcorn	3 cups popped popcorn	  
food_info_serving_sizes_whole_grains[metric][4]	dozeWholeGrainsServing[metric][4]	30 g popped popcorn	30 g popped popcorn	  
food_info_types_greens[0]	dozeGreensVarietyText[0]	Arugula	Arugula	  
food_info_types_greens[1]	dozeGreensVarietyText[1]	Beet greens	Beet greens	  
food_info_types_greens[2]	dozeGreensVarietyText[2]	Collard greens	Collard greens	  
food_info_types_greens[3]	dozeGreensVarietyText[3]	Kale (black, green, and red)	Kale (black, green, and red)	  
food_info_types_greens[4]	dozeGreensVarietyText[4]	Mesclun mix (assorted young salad greens)	Mesclun mix (assorted young salad greens)	  
food_info_types_greens[5]	dozeGreensVarietyText[5]	Mustard greens	Mustard greens	  
food_info_types_greens[6]	dozeGreensVarietyText[6]	Sorrel	Sorrel	  
food_info_types_greens[7]	dozeGreensVarietyText[7]	Spinach	Spinach	  
food_info_types_greens[8]	dozeGreensVarietyText[8]	Swiss chard	Swiss chard	  
food_info_types_greens[9]	dozeGreensVarietyText[9]	Turnip greens	Turnip greens	  
food_info_types_other_fruits[0]	dozeFruitsOtherVarietyText[0]	Apples	Apples	  
food_info_types_other_fruits[1]	dozeFruitsOtherVarietyText[1]	Dried apricots	Dried apricots	  
food_info_types_other_fruits[2]	dozeFruitsOtherVarietyText[2]	Avocados	Avocados	  
food_info_types_other_fruits[3]	dozeFruitsOtherVarietyText[3]	Bananas	Bananas	  
food_info_types_other_fruits[4]	dozeFruitsOtherVarietyText[4]	Cantaloupe	Cantaloupe	  
food_info_types_other_fruits[5]	dozeFruitsOtherVarietyText[5]	Clementines	Clementines	  
food_info_types_other_fruits[6]	dozeFruitsOtherVarietyText[6]	Dates	Dates	  
food_info_types_other_fruits[7]	dozeFruitsOtherVarietyText[7]	Dried figs	Dried figs	  
food_info_types_other_fruits[8]	dozeFruitsOtherVarietyText[8]	Grapefruit	Grapefruit	  
food_info_types_other_fruits[9]	dozeFruitsOtherVarietyText[9]	Honeydew	Honeydew	  
food_info_types_other_fruits[10]	dozeFruitsOtherVarietyText[10]	Kiwifruit	Kiwifruit	  
food_info_types_other_fruits[11]	dozeFruitsOtherVarietyText[11]	Lemons	Lemons	  
food_info_types_other_fruits[12]	dozeFruitsOtherVarietyText[12]	Limes	Limes	  
food_info_types_other_fruits[13]	dozeFruitsOtherVarietyText[13]	Lychees	Lychees	  
food_info_types_other_fruits[14]	dozeFruitsOtherVarietyText[14]	Mangos	Mangos	  
food_info_types_other_fruits[15]	dozeFruitsOtherVarietyText[15]	Nectarines	Nectarines	  
food_info_types_other_fruits[16]	dozeFruitsOtherVarietyText[16]	Oranges	Oranges	  
food_info_types_other_fruits[17]	dozeFruitsOtherVarietyText[17]	Papaya	Papaya	  
food_info_types_other_fruits[18]	dozeFruitsOtherVarietyText[18]	Passion fruit	Passion fruit	  
food_info_types_other_fruits[19]	dozeFruitsOtherVarietyText[19]	Peaches	Peaches	  
food_info_types_other_fruits[20]	dozeFruitsOtherVarietyText[20]	Pears	Pears	  
food_info_types_other_fruits[21]	dozeFruitsOtherVarietyText[21]	Pineapple	Pineapple	  
food_info_types_other_fruits[22]	dozeFruitsOtherVarietyText[22]	Plums (especially black plums)	Plums (especially black plums)	  
food_info_types_other_fruits[23]	dozeFruitsOtherVarietyText[23]	Pluots	Pluots	  
food_info_types_other_fruits[24]	dozeFruitsOtherVarietyText[24]	Pomegranates	Pomegranates	  
food_info_types_other_fruits[25]	dozeFruitsOtherVarietyText[25]	Prunes	Prunes	  
food_info_types_other_fruits[26]	dozeFruitsOtherVarietyText[26]	Tangerines	Tangerines	  
food_info_types_other_fruits[27]	dozeFruitsOtherVarietyText[27]	Watermelon	Watermelon	  
food_info_types_berries[0]	dozeBerriesVarietyText[0]	Acai berries	Acai berries	  
food_info_types_berries[1]	dozeBerriesVarietyText[1]	Barberries	Barberries	  
food_info_types_berries[2]	dozeBerriesVarietyText[2]	Blackberries	Blackberries	  
food_info_types_berries[3]	dozeBerriesVarietyText[3]	Blueberries	Blueberries	  
food_info_types_berries[4]	dozeBerriesVarietyText[4]	Cherries (sweet or tart)	Cherries (sweet or tart)	  
food_info_types_berries[5]	dozeBerriesVarietyText[5]	Concord grapes	Concord grapes	  
food_info_types_berries[6]	dozeBerriesVarietyText[6]	Cranberries	Cranberries	  
food_info_types_berries[7]	dozeBerriesVarietyText[7]	Goji berries	Goji berries	  
food_info_types_berries[8]	dozeBerriesVarietyText[8]	Kumquats	Kumquats	  
food_info_types_berries[9]	dozeBerriesVarietyText[9]	Mulberries	Mulberries	  
food_info_types_berries[10]	dozeBerriesVarietyText[10]	Raspberries (black or red)	Raspberries (black or red)	  
food_info_types_berries[11]	dozeBerriesVarietyText[11]	Strawberries	Strawberries	  
food_info_types_exercise[0]	dozeExerciseVarietyText[0]	Bicycling	Bicycling	  
food_info_types_exercise[1]	dozeExerciseVarietyText[1]	Canoeing	Canoeing	  
food_info_types_exercise[2]	dozeExerciseVarietyText[2]	Dancing	Dancing	  
food_info_types_exercise[3]	dozeExerciseVarietyText[3]	Dodgeball	Dodgeball	  
food_info_types_exercise[4]	dozeExerciseVarietyText[4]	Downhill skiing	Downhill skiing	  
food_info_types_exercise[5]	dozeExerciseVarietyText[5]	Fencing	Fencing	  
food_info_types_exercise[6]	dozeExerciseVarietyText[6]	Hiking	Hiking	  
food_info_types_exercise[7]	dozeExerciseVarietyText[7]	Housework	Housework	  
food_info_types_exercise[8]	dozeExerciseVarietyText[8]	Ice-skating	Ice-skating	  
food_info_types_exercise[9]	dozeExerciseVarietyText[9]	Inline skating	Inline skating	  
food_info_types_exercise[10]	dozeExerciseVarietyText[10]	Juggling	Juggling	  
food_info_types_exercise[11]	dozeExerciseVarietyText[11]	Jumping on a trampoline	Jumping on a trampoline	  
food_info_types_exercise[12]	dozeExerciseVarietyText[12]	Paddle boating	Paddle boating	  
food_info_types_exercise[13]	dozeExerciseVarietyText[13]	Playing frisbee	Playing frisbee	  
food_info_types_exercise[14]	dozeExerciseVarietyText[14]	Roller-skating	Roller-skating	  
food_info_types_exercise[15]	dozeExerciseVarietyText[15]	Shooting baskets	Shooting baskets	  
food_info_types_exercise[16]	dozeExerciseVarietyText[16]	Shoveling light snow	Shoveling light snow	  
food_info_types_exercise[17]	dozeExerciseVarietyText[17]	Skateboarding	Skateboarding	  
food_info_types_exercise[18]	dozeExerciseVarietyText[18]	Snorkeling	Snorkeling	  
food_info_types_exercise[19]	dozeExerciseVarietyText[19]	Surfing	Surfing	  
food_info_types_exercise[20]	dozeExerciseVarietyText[20]	Swimming recreationally	Swimming recreationally	  
