key_droid	key_apple	base_value	lang_value	base_comment	lang_url
food_videos_other_fruits[21]		topics/pineapples	topics/pineapples		https://nutritionfacts.org/topics/pineapples
food_videos_other_fruits[22]		topics/plums	topics/plums		https://nutritionfacts.org/topics/plums
food_videos_other_fruits[23]					
food_videos_other_fruits[24]		topics/pomegranates	topics/pomegranates		https://nutritionfacts.org/topics/pomegranates
food_videos_other_fruits[25]		topics/prunes	topics/prunes		https://nutritionfacts.org/topics/prunes
food_videos_other_fruits[26]					
food_videos_other_fruits[27]		topics/watermelon	topics/watermelon		https://nutritionfacts.org/topics/watermelon
					
food_videos_cruciferous_vegetables[0]					
food_videos_cruciferous_vegetables[1]		topics/bok-choy	topics/bok-choy		https://nutritionfacts.org/topics/bok-choy
food_videos_cruciferous_vegetables[2]		topics/broccoli	topics/broccoli		https://nutritionfacts.org/topics/broccoli
food_videos_cruciferous_vegetables[3]		topics/brussels-sprouts	topics/brussels-sprouts		https://nutritionfacts.org/topics/brussels-sprouts
food_videos_cruciferous_vegetables[4]		topics/cabbage	topics/cabbage		https://nutritionfacts.org/topics/cabbage
food_videos_cruciferous_vegetables[5]		topics/cauliflower	topics/cauliflower		https://nutritionfacts.org/topics/cauliflower
food_videos_cruciferous_vegetables[6]		topics/collard-greens	topics/collard-greens		https://nutritionfacts.org/topics/collard-greens
food_videos_cruciferous_vegetables[7]					
food_videos_cruciferous_vegetables[8]		topics/kale	topics/kale		https://nutritionfacts.org/topics/kale
food_videos_cruciferous_vegetables[9]		topics/kohlrabi	topics/kohlrabi		https://nutritionfacts.org/topics/kohlrabi
food_videos_cruciferous_vegetables[10]		topics/mustard-greens	topics/mustard-greens		https://nutritionfacts.org/topics/mustard-greens
food_videos_cruciferous_vegetables[11]		topics/radishes	topics/radishes		https://nutritionfacts.org/topics/radishes
food_videos_cruciferous_vegetables[12]		topics/turnips	topics/turnips		https://nutritionfacts.org/topics/turnips
food_videos_cruciferous_vegetables[13]		topics/watercress	topics/watercress		https://nutritionfacts.org/topics/watercress
					
food_videos_greens[0]					
food_videos_greens[1]		topics/beet-greens	topics/beet-greens		https://nutritionfacts.org/topics/beet-greens
food_videos_greens[2]		topics/collard-greens	topics/collard-greens		https://nutritionfacts.org/topics/collard-greens
food_videos_greens[3]		topics/kale	topics/kale		https://nutritionfacts.org/topics/kale
food_videos_greens[4]		topics/mesclun-mix	topics/mesclun-mix		https://nutritionfacts.org/topics/mesclun-mix
food_videos_greens[5]		topics/mustard-greens	topics/mustard-greens		https://nutritionfacts.org/topics/mustard-greens
food_videos_greens[6]					
food_videos_greens[7]		topics/spinach	topics/spinach		https://nutritionfacts.org/topics/spinach
food_videos_greens[8]		topics/swiss-chard	topics/swiss-chard		https://nutritionfacts.org/topics/swiss-chard
food_videos_greens[9]		topics/turnips	topics/turnips		https://nutritionfacts.org/topics/turnips
					
food_videos_other_vegetables[0]		topics/artichokes	topics/artichokes		https://nutritionfacts.org/topics/artichokes
food_videos_other_vegetables[1]		topics/asparagus	topics/asparagus		https://nutritionfacts.org/topics/asparagus
food_videos_other_vegetables[2]		topics/beets	topics/beets		https://nutritionfacts.org/topics/beets
food_videos_other_vegetables[3]		topics/bell-peppers	topics/bell-peppers		https://nutritionfacts.org/topics/bell-peppers
food_videos_other_vegetables[4]		topics/carrots	topics/carrots		https://nutritionfacts.org/topics/carrots
food_videos_other_vegetables[5]		topics/corn	topics/corn		https://nutritionfacts.org/topics/corn
food_videos_other_vegetables[6]		topics/garlic	topics/garlic		https://nutritionfacts.org/topics/garlic
food_videos_other_vegetables[7]		topics/mushrooms	topics/mushrooms		https://nutritionfacts.org/topics/mushrooms
food_videos_other_vegetables[8]		topics/okra	topics/okra		https://nutritionfacts.org/topics/okra
food_videos_other_vegetables[9]		topics/onions	topics/onions		https://nutritionfacts.org/topics/onions
food_videos_other_vegetables[10]		topics/purple-potatoes	topics/purple-potatoes		https://nutritionfacts.org/topics/purple-potatoes
food_videos_other_vegetables[11]		topics/pumpkin	topics/pumpkin		https://nutritionfacts.org/topics/pumpkin
food_videos_other_vegetables[12]		topics/sea-vegetables	topics/sea-vegetables		https://nutritionfacts.org/topics/sea-vegetables
food_videos_other_vegetables[13]					
food_videos_other_vegetables[14]		topics/squash	topics/squash		https://nutritionfacts.org/topics/squash
food_videos_other_vegetables[15]		topics/sweet-potatoes	topics/sweet-potatoes		https://nutritionfacts.org/topics/sweet-potatoes
food_videos_other_vegetables[16]		topics/tomatoes	topics/tomatoes		https://nutritionfacts.org/topics/tomatoes
food_videos_other_vegetables[17]		topics/zucchini	topics/zucchini		https://nutritionfacts.org/topics/zucchini
					
food_videos_nuts[0]		topics/almonds	topics/almonds		https://nutritionfacts.org/topics/almonds
food_videos_nuts[1]		topics/brazil-nuts	topics/brazil-nuts		https://nutritionfacts.org/topics/brazil-nuts
food_videos_nuts[2]		topics/cashews	topics/cashews		https://nutritionfacts.org/topics/cashews
food_videos_nuts[3]		topics/chia-seeds	topics/chia-seeds		https://nutritionfacts.org/topics/chia-seeds
food_videos_nuts[4]		topics/hazelnuts	topics/hazelnuts		https://nutritionfacts.org/topics/hazelnuts
food_videos_nuts[5]					
food_videos_nuts[6]		topics/macadamia-nuts	topics/macadamia-nuts		https://nutritionfacts.org/topics/macadamia-nuts
food_videos_nuts[7]		topics/pecans	topics/pecans		https://nutritionfacts.org/topics/pecans
food_videos_nuts[8]		topics/pistachios	topics/pistachios		https://nutritionfacts.org/topics/pistachios
food_videos_nuts[9]		topics/pumpkin-seeds	topics/pumpkin-seeds		https://nutritionfacts.org/topics/pumpkin-seeds
food_videos_nuts[10]		topics/sesame-seeds	topics/sesame-seeds		https://nutritionfacts.org/topics/sesame-seeds
food_videos_nuts[11]		topics/sunflower-seeds	topics/sunflower-seeds		https://nutritionfacts.org/topics/sunflower-seeds
food_videos_nuts[12]		topics/walnuts	topics/walnuts		https://nutritionfacts.org/topics/walnuts
					
food_videos_spices[0]		topics/allspice	topics/allspice		https://nutritionfacts.org/topics/allspice
food_videos_spices[1]		topics/barberries	topics/barberries		https://nutritionfacts.org/topics/barberries
